Advertising,Publicitate - Agentii publicitate
Production,Productie
Real Estate,Imobiliare - Real Estate
Insurances - Financial Intermediaries,Asigurari - Intermedieri financiare
Public Relations,Relatii Publice
Retail - Trade,Retail - Comert
Banks - Financial Institutions,Banci
Accounting - Finance,Contabilitate - Finante
Chemistry - Petrochemistry,Chimie - Petrochimie
Tourism,Turism
Management - Consulting,Management - Consultanta
Others,Altele
Architecture - Design,Arhitectura - Design - Proiectare
Non profit Charitable Organizations,Fundatii - Voluntariat - ONG
Radio - Television,Radio-Televiziune
Customer support - Client service,Suport clienti
Customer Support - Client Service,Suport clienti
Hotels - Restaurants - Cafes,Hoteluri - Restaurante - Cafenele
Engineering,Inginerie
Management Trainee,Asistent Manager
Administrative Assistance,Secretariat - Administrativ
Pharmacy - Health,Farmacie - Medicina
Quality Control,Controlul calitatii
Legal Services,Juridic
Telecommunication,Telecomunicatii
Administration - Political Sciences,Administratie - Stiinte politice
Sales,Vanzari
Education - Training,Educatie - Training
Human Resources - Psychology,Resurse Umane - Psihologie
Construction,Constructii
Acquisitions - Logistics - Supplies,Achizitii - Logistica - Aprovizionare
Import-Export,Import - Export